Fecha Local / Lugar,Profundidad,Magnitud
2024-10-11 18:27:4425 km al SE de Mina Collahuasi,119 km,3.0
2024-10-11 16:23:4251 km al NO de Mejillones,37 km,3.2
2024-10-11 15:20:5227 km al NO de La Serena,62 km,3.5
2024-10-11 15:20:2011 km al N de Quintero,33 km,2.6
2024-10-11 13:22:2228 km al NO de ConstituciÃ³n,15 km,2.9
2024-10-11 11:55:1577 km al NE de Alto del Carmen,107 km,4.5
2024-10-11 11:49:3146 km al N de Termas del Flaco,136 km,3.3
2024-10-11 11:26:1555 km al SE de Socaire,257 km,3.8
2024-10-11 11:23:2540 km al S de OllagÃ¼e,128 km,3.6
2024-10-11 08:10:4353 km al SO de Tocopilla,22 km,2.5
2024-10-11 06:24:2819 km al S de Iquique,51 km,3.0
2024-10-11 05:58:5571 km al SE de CamiÃ±a,101 km,2.6
2024-10-11 04:48:1322 km al NE de Caldera,69 km,3.0
2024-10-11 00:35:0364 km al NE de Linares,106 km,2.5
2024-10-11 00:00:0857 km al SO de OllagÃ¼e,120 km,3.4
